Month,Sales
2002-04,394382
2002-05,435640
2002-06,412740
2002-07,400284
2002-08,403766
2002-09,431400
2002-10,494487
2002-11,468306
2002-12,396545
2003-01,422096
2003-02,410871
2003-03,383010
2003-04,429272
2003-05,509349
2003-06,486447
2003-07,473984
2003-08,481835
2003-09,546960
2003-10,570006
2003-11,500915
2003-12,420012
2004-01,479912
2004-02,485915
2004-03,505972
2004-04,468757
2004-05,488829
2004-06,504996
2004-07,523283
2004-08,496550
2004-09,569107
2004-10,620927
2004-11,618528
2004-12,579880
2005-01,564678
2005-02,553394
2005-03,587311
2005-04,578668
2005-05,550841
2005-06,506632
2005-07,475081
2005-08,551477
2005-09,641304
2005-10,726548
2005-11,578116
2005-12,530494
2006-01,595860
2006-02,594072
2006-03,644263
2006-04,605933
2006-05,665839
2006-06,631823
2006-07,560998
2006-08,568869
2006-09,765360
2006-10,806611
2006-11,664038
2006-12,590588
2007-01,666002
2007-02,626624
2007-03,631648
2007-04,581775
2007-05,603311
2007-06,571676
2007-07,505042
2007-08,554564
2007-09,671684
2007-10,790938
2007-11,668077
2007-12,546966
2008-01,606946
2008-02,545229
2008-03,632602
2008-04,610539
2008-05,642810
2008-06,607674
2008-07,604522
2008-08,625405
2008-09,783570
2008-10,683570
2008-11,550489
2008-12,462554
2009-01,582790
2009-02,633770
2009-03,656052
2009-04,702833
2009-05,729323
2009-06,708924
2009-07,722147
2009-08,779793
2009-09,842626
2009-10,754979
2009-11,793849
2009-12,769156
2010-01,838461
2010-02,840791
2010-03,921184
2010-04,867710
2010-05,939436
2010-06,935416
2010-07,940266
2010-08,958155
2010-09,1007453
2010-10,1131266
2010-11,932815
2010-12,1008380
2011-01,983480
2011-02,1024877
2011-03,1096274
2011-04,1046990
2011-05,1075204
2011-06,1078815
2011-07,1060794
2011-08,1114590
2011-09,1236420
2011-10,1151343
2011-11,1165432
2011-12,1094229
2012-01,1116324
2012-02,1146343
2012-03,1185714
2012-04,1159781
2012-05,1193165
2012-06,1171592
2012-07,1134636
2012-08,1059606
2012-09,1070548
2012-10,1287821
2012-11,1177143
2012-12,1138242
2013-01,1209613
2013-02,1117038
2013-03,1098966
2013-04,1168589
2013-05,1207482
2013-06,1118474
2013-07,1133849
2013-08,1130432
2013-09,1268045
2013-10,1518360
2013-11,1241433
2013-12,1164081
2014-01,1315303
2014-02,1221183
2014-03,1335342
2014-04,1305685
2014-05,1404161
2014-06,1262462
2014-07,1287908
2014-08,1346196
2014-09,1568639
2014-10,1461540
2014-11,1301952
2014-12,1213294
2015-01,1328338
2015-02,1208519
2015-03,1323603
2015-04,1287493
2015-05,1381328
2015-06,1307924
2015-07,1300843
2015-08,1305443
2015-09,1536874
2015-10,1656414
2015-11,1323378
2015-12,1169495
2016-01,1365431
2016-02,1364609
2016-03,1466663
2016-04,1559849
2016-05,1513780
2016-06,1467386
2016-07,1475845
2016-08,1647972
2016-09,1870895
2016-10,1800119
2016-11,1242519
2016-12,909877
2017-01,1261743
2017-02,1361699
2017-03,1470943
2017-04,1674179
2017-05,1693800
2017-06,1526579
2017-07,1678653
2017-08,1890613
2017-09,2040601
2017-10,1750521
2017-11,1536570
2017-12,1287309
2018-01,1683597
2018-02,1685251
2018-03,1740475
2018-04,1957629
2018-05,1849409
2018-06,1866605
2018-07,1816439
2018-08,1946128
2018-09,2125519
2018-10,2051915
2018-11,1645105
2018-12,1258360
2019-01,1596869
2019-02,1614506
2019-03,1439895
2019-04,1637858
2019-05,1729496
2019-06,1653169